name,slug,description,price,category,room,style,imageUrl,inStock,stockQty,featured,color
"Sillón Chesterfield Oxford","sillon-chesterfield-oxford","Clásico sillón Chesterfield de 3 cuerpos en cuero sintético, ideal para darle un toque británico a tu living.",1250000,Sillones,Living,Clásico,"https://images.unsplash.com/photo-1555041469-a586c61ea9bc?auto=format&fit=crop&q=80&w=800",true,5,true,"Marrón,Dorado"
"Mesa de Comedor Oslo","mesa-comedor-oslo","Mesa escandinava extensible en madera de paraíso maciza. Capacidad hasta 8 personas.",850000,Mesas,Comedor,Nórdico,"https://images.unsplash.com/photo-1604578762246-41134e37f9cc?auto=format&fit=crop&q=80&w=800",true,10,true,"Madera"
"Silla Eames Premium","silla-eames-premium","Silla de diseño Eames con base de madera y asiento acolchado, confort y diseño inigualables.",95000,Sillas,Comedor,Moderno,"https://images.unsplash.com/photo-1505843490538-5133c6c7d0e1?auto=format&fit=crop&q=80&w=800",true,40,false,"Blanco,Negro"
"Cama Queen Size Zen","cama-queen-size-zen","Estructura de cama flotante estilo minimalista japonés, fabricada en melamina texturada.",1100000,Camas,Dormitorio,Minimalista,"https://images.unsplash.com/photo-1505693314120-0d443867891c?auto=format&fit=crop&q=80&w=800",true,3,true,"Roble Claro"
"Mesa de Centro Industrial","mesa-centro-industrial","Mesa ratona con estructura de hierro negro y tapa en madera de guayubira.",280000,Mesas,Living,Industrial,"https://images.unsplash.com/photo-1533090481720-856c6e3c1fdc?auto=format&fit=crop&q=80&w=800",true,15,false,"Negro,Madera"
"Lámpara de Pie Arco","lampara-pie-arco","Lámpara de pie de diseño moderno, arco de acero inoxidable con base de mármol Carrara.",350000,Iluminacion,Living,Moderno,"https://images.unsplash.com/photo-1513506003901-1e6a229e2d15?auto=format&fit=crop&q=80&w=800",true,8,false,"Plata,Blanco"
"Sofá Escandinavo 2 Cuerpos","sofa-escandinavo-2c","Sofá tapizado en lino antidesgarro, patas de madera cónicas. Perfecto para espacios reducidos.",980000,Sillones,Living,Nórdico,"https://images.unsplash.com/photo-1493663284031-b7e3aefcae8e?auto=format&fit=crop&q=80&w=800",true,12,true,"Gris Claro"
"Escritorio Gamer Pro","escritorio-gamer-pro","Mesa de escritorio ergonómica con luces LED integradas y soporte para doble monitor.",450000,Escritorios,Oficina,Moderno,"https://images.unsplash.com/photo-1524758631624-e2822e304c36?auto=format&fit=crop&q=80&w=800",true,20,false,"Negro,Rojo"
"Estantería Biblioteca Hierro","estanteria-biblioteca-hierro","Diseño abierto, 5 estantes en melamina y estructura metálica.",320000,Almacenamiento,Oficina,Industrial,"https://images.unsplash.com/photo-1594620302200-9a762244a156?auto=format&fit=crop&q=80&w=800",true,7,false,"Negro,Roble"
"Silla de Oficina Ergonómica","silla-oficina-ergo","Silla giratoria mesh, soporte lumbar ajustable, ruedas de silicona.",220000,Sillas,Oficina,Ergonómico,"https://images.unsplash.com/photo-1505773280044-fcd798b4faca?auto=format&fit=crop&q=80&w=800",true,25,true,"Gris Oscuro"
"Set Muebles Exterior Jardín","set-exterior-jardin","Juego de living para patio, resina resistente a rayos UV que imita rattán, incluye almohadones.",1800000,Sets,Exterior,Rústico,"https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&q=80&w=800",true,4,true,"Gris"
"Sillón Acapulco","sillon-acapulco-exterior","Clásico sillón tejido en PVC resistente a la intemperie, estructura metálica reforzada.",65000,Sillones,Exterior,Boho,"https://images.unsplash.com/photo-1592078615290-033ee584e267?auto=format&fit=crop&q=80&w=800",true,50,false,"Turquesa,Amarillo,Blanco"
"Mesa de Luz Minimal","mesa-luz-minimal","Un cajón con correderas telescópicas y espacio abierto, sin tiradores a la vista.",110000,Mesas,Dormitorio,Minimalista,"https://images.unsplash.com/photo-1532372320572-cda25653a26d?auto=format&fit=crop&q=80&w=800",true,20,false,"Blanco"
"Cómoda 6 Cajones Vintage","comoda-6-cajones-v","Madera maciza reciclada con tiradores de bronce estilo antiguo.",620000,Almacenamiento,Dormitorio,Vintage,"https://images.unsplash.com/photo-1595428774223-ef52624120d2?auto=format&fit=crop&q=80&w=800",true,2,true,"Madera Desgastada"
"Sillón Puff Pera MAX","sillon-puff-pera","Puff gigante relleno de perlas EPS, tapiz de ecocuero lavable.",130000,Sillones,Living,Juvenil,"https://images.unsplash.com/photo-1592813580456-11f4cc09c6cd?auto=format&fit=crop&q=80&w=800",true,30,false,"Rojo,Azul"
"Isla de Cocina Móvil","isla-cocina-movil","Isla auxiliar con ruedas con frenos, tapa de madera teca para picar, estantes metálicos inferiores.",480000,Mesas,Cocina,Industrial,"https://images.unsplash.com/photo-1556910103-1c02745aae4d?auto=format&fit=crop&q=80&w=800",true,6,true,"Madera,Negro"
"Banqueta Alta Barra","banqueta-alta-barra","Ideal para desayunadores, asiento tapizado en ecocuero y base de hierro.",75000,Sillas,Cocina,Moderno,"https://images.unsplash.com/photo-1503602642458-1463133de5bb?auto=format&fit=crop&q=80&w=800",true,45,false,"Blanco"
"Espejo Circular Pared","espejo-circular-pared","Espejo diámetro 80cm con marco fino de aluminio negro, ideal para recibidor o baño.",180000,Decoracion,Living,Minimalista,"https://images.unsplash.com/photo-1618220179428-22790b46a011?auto=format&fit=crop&q=80&w=800",true,15,true,"Negro"
"Alfombra Yute Natural","alfombra-yute-2x2","Alfombra redonda tejida a mano en fibras naturales, 2m de diámetro.",210000,Decoracion,Living,Boho,"https://images.unsplash.com/photo-1558211583-02f5a6f23f85?auto=format&fit=crop&q=80&w=800",true,10,false,"Natural"
"Panel TV Flotante","panel-tv-flotante","Panel para TV hasta 65 pulgadas con luces LED perimetrales y nichos para consolas.",390000,Almacenamiento,Living,Moderno,"https://images.unsplash.com/photo-1593696140826-c58b021acf8b?auto=format&fit=crop&q=80&w=800",true,8,false,"Gris Ceniza"
